engine	wav	dur_s	wall_s	rtf	peak_rss_mib
sensevoice	mixed022.wav	2.080000	0.293	0.1409	268
qwen3-1.7B	mixed022.wav	2.080000	2.049	0.9850	2489
qwen3-0.6B	mixed022.wav	2.080000	2.008	0.9653	812
sensevoice	sample02.wav	119.637312	3.102	0.0259	421
qwen3-1.7B	sample02.wav	119.637312	7.721	0.0645	2544
qwen3-0.6B	sample02.wav	119.637312	5.182	0.0433	871
sensevoice	chunk_300.wav	300.000000	7.686	0.0256	455
qwen3-1.7B	chunk_300.wav	300.000000	13.276	0.0443	2628
qwen3-0.6B	chunk_300.wav	300.000000	10.910	0.0364	956
sensevoice	mixed022.wav	2.080000	0.327	0.1570	268
qwen3-1.7B	mixed022.wav	2.080000	2.619	1.2591	2487
qwen3-0.6B	mixed022.wav	2.080000	1.962	0.9432	817
sensevoice	sample02.wav	119.637312	3.289	0.0275	418
qwen3-1.7B	sample02.wav	119.637312	7.657	0.0640	2546
qwen3-0.6B	sample02.wav	119.637312	5.166	0.0432	872
sensevoice	chunk_300.wav	300.000000	7.642	0.0255	455
qwen3-1.7B	chunk_300.wav	300.000000	13.158	0.0439	2626
qwen3-0.6B	chunk_300.wav	300.000000	9.813	0.0327	957
sensevoice	mixed022.wav	2.080000	0.268	0.1287	268
qwen3-1.7B	mixed022.wav	2.080000	2.285	1.0984	2487
qwen3-0.6B	mixed022.wav	2.080000	1.949	0.9371	815
sensevoice	sample02.wav	119.637312	3.054	0.0255	419
qwen3-1.7B	sample02.wav	119.637312	7.664	0.0641	2540
qwen3-0.6B	sample02.wav	119.637312	5.202	0.0435	874
sensevoice	chunk_300.wav	300.000000	8.790	0.0293	457
qwen3-1.7B	chunk_300.wav	300.000000	13.108	0.0437	2628
qwen3-0.6B	chunk_300.wav	300.000000	9.961	0.0332	960
